,date,trial_end_date,h_clients_hk,Test_group,Prolongation_tariff,prolongation_date,price_payed,converted,,,,profi,1390,258,,,,,,,,
35,22.03.2026,22.03.2026,Client_id_35,A,0,23.03.2026,0,0,,,17,0,0,1,,11,2211,26.03.2026,0,0,0,0
36,17.03.2026,17.03.2026,Client_id_36,A,0,24.03.2026,0,0,,,18,0,0,1,,12,2412,27.03.2026,0,0,0,0
37,18.03.2026,18.03.2026,Client_id_37,A,0,22.03.2026,0,0,,,19,0,0,1,,13,2613,28.03.2026,0,0,0,0
38,21.03.2026,21.03.2026,Client_id_38,A,0,27.03.2026,0,0,,,20,0,0,0,,14,2814,29.03.2026,0,0,0,0
39,18.03.2026,18.03.2026,Client_id_39,A,0,29.03.2026,0,0,,,21,0,0,0,,15,3015,30.03.2026,0,0,0,0
40,18.03.2026,18.03.2026,Client_id_40,A,0,23.03.2026,0,0,,,22,0,0,0,,16,3216,31.03.2026,0,0,0,0
41,18.03.2026,18.03.2026,Client_id_41,A,0,22.03.2026,0,0,,,23,0,0,0,,17,3417,01.04.2026,0,0,0,0
42,20.03.2026,20.03.2026,Client_id_42,A,0,20.03.2026,0,0,,,24,0,0,0,,18,3618,02.04.2026,0,0,0,0
43,18.03.2026,18.03.2026,Client_id_43,A,0,26.03.2026,0,0,,,25,0,0,0,,19,3819,03.04.2026,0,0,0,0
44,16.03.2026,16.03.2026,Client_id_44,A,0,26.03.2026,0,0,,,26,0,0,0,,20,4020,04.04.2026,0,0,0,0
45,16.03.2026,16.03.2026,Client_id_45,A,0,19.03.2026,0,0,,,27,0,0,0,,21,4221,05.04.2026,0,0,0,0
46,18.03.2026,18.03.2026,Client_id_46,A,0,29.03.2026,0,0,,,28,0,0,0,,22,4422,06.04.2026,0,0,0,0
47,17.03.2026,17.03.2026,Client_id_47,A,0,24.03.2026,0,0,,,29,0,0,0,,23,4623,07.04.2026,0,0,0,0
48,21.03.2026,21.03.2026,Client_id_48,A,0,24.03.2026,0,0,,,30,0,0,0,,24,4824,08.04.2026,0,0,0,0
49,18.03.2026,18.03.2026,Client_id_49,A,0,28.03.2026,0,0,,,31,0,0,0,,25,5025,09.04.2026,0,0,0,0
50,20.03.2026,20.03.2026,Client_id_50,A,0,02.04.2026,0,0,,,32,0,0,0,,26,5226,10.04.2026,0,0,0,0
51,16.03.2026,16.03.2026,Client_id_51,A,0,27.03.2026,0,0,,,33,0,0,0,,27,5427,11.04.2026,0,0,0,0
52,18.03.2026,18.03.2026,Client_id_52,A,0,22.03.2026,0,0,,,34,0,0,0,,28,5628,12.04.2026,0,0,0,0
53,17.03.2026,17.03.2026,Client_id_53,A,0,19.03.2026,0,0,,,35,0,0,0,,29,5829,13.04.2026,0,0,0,0
54,19.03.2026,19.03.2026,Client_id_54,A,0,02.04.2026,0,0,,,36,0,0,0,,30,6030,14.04.2026,0,0,0,0
55,17.03.2026,17.03.2026,Client_id_55,A,0,21.03.2026,0,0,,,37,0,0,0,,31,6231,15.04.2026,0,0,0,0
56,18.03.2026,18.03.2026,Client_id_56,A,0,28.03.2026,0,0,,,38,0,0,0,,32,6432,16.04.2026,0,0,0,0
57,20.03.2026,20.03.2026,Client_id_57,A,0,24.03.2026,0,0,,,39,0,0,0,,33,6633,17.04.2026,0,0,0,0
58,20.03.2026,20.03.2026,Client_id_58,A,0,31.03.2026,0,0,,,40,0,0,0,,34,6834,18.04.2026,0,0,0,0
59,16.03.2026,16.03.2026,Client_id_59,A,0,30.03.2026,0,0,,,41,0,0,0,,35,7035,19.04.2026,0,0,0,0
60,21.03.2026,21.03.2026,Client_id_60,A,0,31.03.2026,0,0,,,42,0,0,0,,36,7236,20.04.2026,0,0,0,0
61,19.03.2026,19.03.2026,Client_id_61,A,0,29.03.2026,0,0,,,43,0,0,0,,37,7437,21.04.2026,0,0,0,0
62,22.03.2026,22.03.2026,Client_id_62,A,0,29.03.2026,0,0,,,44,0,0,0,,38,7638,22.04.2026,0,0,0,0
63,22.03.2026,22.03.2026,Client_id_63,A,0,28.03.2026,0,0,,,45,0,0,0,,39,7839,23.04.2026,0,0,0,0
64,18.03.2026,18.03.2026,Client_id_64,A,0,25.03.2026,0,0,,,46,0,0,0,,40,8040,24.04.2026,0,0,0,0
65,16.03.2026,16.03.2026,Client_id_65,A,0,23.03.2026,0,0,,,47,0,0,0,,41,8241,25.04.2026,0,0,0,0
66,18.03.2026,18.03.2026,Client_id_66,A,0,01.04.2026,0,0,,,48,0,0,0,,42,8442,22.03.2026,574,0,0,574
67,18.03.2026,18.03.2026,Client_id_67,A,0,23.03.2026,0,0,,,49,0,0,0,,,,,,,,
68,20.03.2026,20.03.2026,Client_id_68,A,0,29.03.2026,0,0,,,50,0,0,0,,,,,,,,
69,18.03.2026,18.03.2026,Client_id_69,A,0,01.04.2026,0,0,,,51,0,0,0,,,,,,,,
70,22.03.2026,22.03.2026,Client_id_70,A,0,27.03.2026,0,0,,,52,0,0,0,,,,,,,,
71,16.03.2026,16.03.2026,Client_id_71,A,business_plus,28.03.2026,2700,0,,,53,0,0,0,,,,,,,,
72,17.03.2026,17.03.2026,Client_id_72,A,0,31.03.2026,0,0,,,54,0,0,0,,,,,,,,
73,22.03.2026,22.03.2026,Client_id_73,A,0,29.03.2026,0,0,,,55,0,0,0,,,,,,,,
74,22.03.2026,22.03.2026,Client_id_74,A,0,04.04.2026,0,0,,,56,0,0,0,,,,,,,,
75,17.03.2026,17.03.2026,Client_id_75,A,0,17.03.2026,0,0,,,57,0,0,0,,,,,,,,
76,19.03.2026,19.03.2026,Client_id_76,A,0,26.03.2026,0,0,,,58,0,0,0,,,,,,,,
77,18.03.2026,18.03.2026,Client_id_77,A,0,27.03.2026,0,0,,,59,0,0,0,,,,,,,,
78,19.03.2026,19.03.2026,Client_id_78,A,business_plus,25.03.2026,2700,1,,,60,0,0,0,,,,,,,,
79,20.03.2026,20.03.2026,Client_id_79,A,0,25.03.2026,0,0,,,61,0,0,0,,,,,,,,
80,20.03.2026,20.03.2026,Client_id_80,A,0,21.03.2026,0,0,,,62,0,0,0,,,,,,,,
81,19.03.2026,19.03.2026,Client_id_81,A,0,20.03.2026,0,0,,,63,0,0,0,,,,,,,,
82,16.03.2026,16.03.2026,Client_id_82,A,0,17.03.2026,0,0,,,64,0,0,0,,,,,,,,
83,17.03.2026,17.03.2026,Client_id_83,A,business,22.03.2026,2200,1,,,65,0,0,0,,,,,,,,
84,22.03.2026,22.03.2026,Client_id_84,A,0,24.03.2026,0,0,,,66,0,0,0,,,,,,,,
85,22.03.2026,22.03.2026,Client_id_85,A,0,03.04.2026,0,0,,,67,0,0,0,,,,,,,,
86,19.03.2026,19.03.2026,Client_id_86,A,0,26.03.2026,0,0,,,68,0,0,0,,,,,,,,
87,19.03.2026,19.03.2026,Client_id_87,A,0,22.03.2026,0,0,,,69,0,0,0,,,,,,,,
88,20.03.2026,20.03.2026,Client_id_88,A,0,29.03.2026,0,0,,,70,0,0,0,,,,,,,,
89,18.03.2026,18.03.2026,Client_id_89,A,profi,01.04.2026,1390,0,,,71,0,0,0,,,,,,,,
90,21.03.2026,21.03.2026,Client_id_90,A,0,24.03.2026,0,0,,,72,0,0,0,,,,,,,,
91,20.03.2026,20.03.2026,Client_id_91,A,0,20.03.2026,0,0,,,73,0,0,0,,,,,,,,
92,17.03.2026,17.03.2026,Client_id_92,A,profi,25.03.2026,1390,1,,,74,0,0,0,,,,,,,,
93,21.03.2026,21.03.2026,Client_id_93,A,0,24.03.2026,0,0,,,75,0,0,0,,,,,,,,
94,17.03.2026,17.03.2026,Client_id_94,A,0,27.03.2026,0,0,,,76,0,0,0,,,,,,,,
95,18.03.2026,18.03.2026,Client_id_95,A,0,25.03.2026,0,0,,,77,0,0,0,,,,,,,,
96,17.03.2026,17.03.2026,Client_id_96,A,business,21.03.2026,2200,1,,,78,0,0,0,,,,,,,,
97,19.03.2026,19.03.2026,Client_id_97,A,0,29.03.2026,0,0,,,79,0,0,0,,,,,,,,
98,20.03.2026,20.03.2026,Client_id_98,A,0,24.03.2026,0,0,,,80,0,0,0,,,,,,,,
99,21.03.2026,21.03.2026,Client_id_99,A,0,21.03.2026,0,0,,,81,0,0,0,,,,,,,,
100,17.03.2026,17.03.2026,Client_id_100,A,0,28.03.2026,0,0,,,82,0,0,0,,,,,,,,
101,16.03.2026,16.03.2026,Client_id_101,A,0,22.03.2026,0,0,,,83,0,0,0,,,,,,,,
102,22.03.2026,22.03.2026,Client_id_102,A,business,04.04.2026,2200,0,,,84,0,0,0,,,,,,,,
103,18.03.2026,18.03.2026,Client_id_103,A,0,24.03.2026,0,0,,,85,0,0,0,,,,,,,,
104,17.03.2026,17.03.2026,Client_id_104,A,0,18.03.2026,0,0,,,86,0,0,0,,,,,,,,
105,21.03.2026,21.03.2026,Client_id_105,A,0,30.03.2026,0,0,,,87,0,0,0,,,,,,,,
106,22.03.2026,22.03.2026,Client_id_106,A,0,31.03.2026,0,0,,,88,0,0,0,,,,,,,,
107,21.03.2026,21.03.2026,Client_id_107,A,0,27.03.2026,0,0,,,89,0,0,0,,,,,,,,
108,16.03.2026,16.03.2026,Client_id_108,A,0,17.03.2026,0,0,,,90,0,0,0,,,,,,,,
109,19.03.2026,19.03.2026,Client_id_109,A,0,27.03.2026,0,0,,,91,0,0,0,,,,,,,,
110,19.03.2026,19.03.2026,Client_id_110,A,0,29.03.2026,0,0,,,92,0,0,0,,,,,,,,
111,20.03.2026,20.03.2026,Client_id_111,A,profi,27.03.2026,1390,1,,,93,0,0,0,,,,,,,,
112,20.03.2026,20.03.2026,Client_id_112,A,0,21.03.2026,0,0,,,94,0,0,0,,,,,,,,
113,17.03.2026,17.03.2026,Client_id_113,A,0,24.03.2026,0,0,,,95,0,0,0,,,,,,,,
114,21.03.2026,21.03.2026,Client_id_114,A,0,28.03.2026,0,0,,,96,0,0,0,,,,,,,,
115,16.03.2026,16.03.2026,Client_id_115,A,0,23.03.2026,0,0,,,97,0,0,0,,,,,,,,
116,16.03.2026,16.03.2026,Client_id_116,A,0,25.03.2026,0,0,,,98,0,0,0,,,,,,,,
117,21.03.2026,21.03.2026,Client_id_117,A,0,24.03.2026,0,0,,,99,0,0,0,,,,,,,,
118,20.03.2026,20.03.2026,Client_id_118,A,0,01.04.2026,0,0,,,100,0,0,0,,,,,,,,
119,18.03.2026,18.03.2026,Client_id_119,A,profi,19.03.2026,1390,1,,,,,,,,,,,,,,
120,17.03.2026,17.03.2026,Client_id_120,A,0,27.03.2026,0,0,,,,,,,,,,,,,,
121,17.03.2026,17.03.2026,Client_id_121,A,0,18.03.2026,0,0,,,,,,,,,,,,,,
122,22.03.2026,22.03.2026,Client_id_122,A,0,31.03.2026,0,0,,,,,,,,,,,,,,
123,18.03.2026,18.03.2026,Client_id_123,A,0,25.03.2026,0,0,,,,,,,,,,,,,,
124,17.03.2026,17.03.2026,Client_id_124,A,0,19.03.2026,0,0,,,,,,,,,,,,,,
125,17.03.2026,17.03.2026,Client_id_125,A,0,19.03.2026,0,0,,,,,,,,,,,,,,
126,19.03.2026,19.03.2026,Client_id_126,A,profi,23.03.2026,1390,1,,,,,,,,,,,,,,
127,22.03.2026,22.03.2026,Client_id_127,A,0,30.03.2026,0,0,,,,,,,,,,,,,,
128,16.03.2026,16.03.2026,Client_id_128,A,0,27.03.2026,0,0,,,,,,,,,,,,,,
129,20.03.2026,20.03.2026,Client_id_129,A,0,29.03.2026,0,0,,,,,,,,,,,,,,
130,20.03.2026,20.03.2026,Client_id_130,A,0,02.04.2026,0,0,,,,,,,,,,,,,,
131,22.03.2026,22.03.2026,Client_id_131,A,0,05.04.2026,0,0,,,,,,,,,,,,,,
132,17.03.2026,17.03.2026,Client_id_132,A,0,26.03.2026,0,0,,,,,,,,,,,,,,
133,16.03.2026,16.03.2026,Client_id_133,A,0,26.03.2026,0,0,,,,,,,,,,,,,,
134,22.03.2026,22.03.2026,Client_id_134,A,profi,31.03.2026,1390,1,,,,,,,,,,,,,,
135,20.03.2026,20.03.2026,Client_id_135,A,0,29.03.2026,0,0,,,,,,,,,,,,,,
136,22.03.2026,22.03.2026,Client_id_136,A,0,24.03.2026,0,0,,,,,,,,,,,,,,
137,20.03.2026,20.03.2026,Client_id_137,A,0,26.03.2026,0,0,,,,,,,,,,,,,,
138,21.03.2026,21.03.2026,Client_id_138,A,0,28.03.2026,0,0,,,,,,,,,,,,,,
139,19.03.2026,19.03.2026,Client_id_139,A,0,26.03.2026,0,0,,,,,,,,,,,,,,
140,19.03.2026,19.03.2026,Client_id_140,A,0,24.03.2026,0,0,,,,,,,,,,,,,,
141,20.03.2026,20.03.2026,Client_id_141,A,0,31.03.2026,0,0,,,,,,,,,,,,,,
142,17.03.2026,17.03.2026,Client_id_142,A,0,30.03.2026,0,0,,,,,,,,,,,,,,
143,22.03.2026,22.03.2026,Client_id_143,A,0,30.03.2026,0,0,,,,,,,,,,,,,,
144,18.03.2026,18.03.2026,Client_id_144,A,profi,28.03.2026,1390,1,,,,,,,,,,,,,,
145,19.03.2026,19.03.2026,Client_id_145,A,0,26.03.2026,0,0,,,,,,,,,,,,,,
146,17.03.2026,17.03.2026,Client_id_146,A,0,27.03.2026,0,0,,,,,,,,,,,,,,
147,22.03.2026,22.03.2026,Client_id_147,A,0,29.03.2026,0,0,,,,,,,,,,,,,,
148,19.03.2026,19.03.2026,Client_id_148,A,0,31.03.2026,0,0,,,,,,,,,,,,,,
149,20.03.2026,20.03.2026,Client_id_149,A,0,02.04.2026,0,0,,,,,,,,,,,,,,
150,16.03.2026,16.03.2026,Client_id_150,A,0,22.03.2026,0,0,,,,,,,,,,,,,,
151,16.03.2026,16.03.2026,Client_id_151,A,0,19.03.2026,0,0,,,,,,,,,,,,,,
152,17.03.2026,17.03.2026,Client_id_152,A,0,28.03.2026,0,0,,,,,,,,,,,,,,
153,16.03.2026,16.03.2026,Client_id_153,A,0,16.03.2026,0,0,,,,,,,,,,,,,,
154,20.03.2026,20.03.2026,Client_id_154,A,0,21.03.2026,0,0,,,,,,,,,,,,,,
155,21.03.2026,21.03.2026,Client_id_155,A,0,04.04.2026,0,0,,,,,,,,,,,,,,
156,18.03.2026,18.03.2026,Client_id_156,A,0,26.03.2026,0,0,,,,,,,,,,,,,,
157,20.03.2026,20.03.2026,Client_id_157,A,0,28.03.2026,0,0,,,,,,,,,,,,,,
158,20.03.2026,20.03.2026,Client_id_158,A,0,24.03.2026,0,0,,,,,,,,,,,,,,
159,20.03.2026,20.03.2026,Client_id_159,A,0,24.03.2026,0,0,,,,,,,,,,,,,,
160,17.03.2026,17.03.2026,Client_id_160,A,0,17.03.2026,0,0,,,,,,,,,,,,,,
161,22.03.2026,22.03.2026,Client_id_161,A,0,30.03.2026,0,0,,,,,,,,,,,,,,
162,17.03.2026,17.03.2026,Client_id_162,A,0,25.03.2026,0,0,,,,,,,,,,,,,,
163,17.03.2026,17.03.2026,Client_id_163,A,0,28.03.2026,0,0,,,,,,,,,,,,,,
164,19.03.2026,19.03.2026,Client_id_164,A,business,21.03.2026,2200,1,,,,,,,,,,,,,,
165,21.03.2026,21.03.2026,Client_id_165,A,0,22.03.2026,0,0,,,,,,,,,,,,,,
166,22.03.2026,22.03.2026,Client_id_166,A,0,24.03.2026,0,0,,,,,,,,,,,,,,
167,20.03.2026,20.03.2026,Client_id_167,A,0,01.04.2026,0,0,,,,,,,,,,,,,,
168,22.03.2026,22.03.2026,Client_id_168,A,0,24.03.2026,0,0,,,,,,,,,,,,,,
169,18.03.2026,18.03.2026,Client_id_169,A,0,30.03.2026,0,0,,,,,,,,,,,,,,
170,19.03.2026,19.03.2026,Client_id_170,A,0,27.03.2026,0,0,,,,,,,,,,,,,,
171,17.03.2026,17.03.2026,Client_id_171,A,0,19.03.2026,0,0,,,,,,,,,,,,,,
172,20.03.2026,20.03.2026,Client_id_172,A,0,25.03.2026,0,0,,,,,,,,,,,,,,
173,16.03.2026,16.03.2026,Client_id_173,A,0,26.03.2026,0,0,,,,,,,,,,,,,,
174,21.03.2026,21.03.2026,Client_id_174,A,0,22.03.2026,0,0,,,,,,,,,,,,,,
175,21.03.2026,21.03.2026,Client_id_175,A,0,24.03.2026,0,0,,,,,,,,,,,,,,
176,16.03.2026,16.03.2026,Client_id_176,A,0,30.03.2026,0,0,,,,,,,,,,,,,,
177,18.03.2026,18.03.2026,Client_id_177,A,profi,25.03.2026,1390,1,,,,,,,,,,,,,,
178,16.03.2026,16.03.2026,Client_id_178,A,0,27.03.2026,0,0,,,,,,,,,,,,,,
179,18.03.2026,18.03.2026,Client_id_179,A,0,19.03.2026,0,0,,,,,,,,,,,,,,
180,16.03.2026,16.03.2026,Client_id_180,A,0,21.03.2026,0,0,,,,,,,,,,,,,,
181,20.03.2026,20.03.2026,Client_id_181,A,0,26.03.2026,0,0,,,,,,,,,,,,,,
182,20.03.2026,20.03.2026,Client_id_182,A,0,22.03.2026,0,0,,,,,,,,,,,,,,
183,20.03.2026,20.03.2026,Client_id_183,A,0,20.03.2026,0,0,,,,,,,,,,,,,,
184,17.03.2026,17.03.2026,Client_id_184,A,0,24.03.2026,0,0,,,,,,,,,,,,,,
185,16.03.2026,16.03.2026,Client_id_185,A,profi,22.03.2026,1390,1,,,,,,,,,,,,,,
186,19.03.2026,19.03.2026,Client_id_186,A,0,24.03.2026,0,0,,,,,,,,,,,,,,
187,16.03.2026,16.03.2026,Client_id_187,A,business,26.03.2026,2200,1,,,,,,,,,,,,,,
188,17.03.2026,17.03.2026,Client_id_188,A,0,29.03.2026,0,0,,,,,,,,,,,,,,
189,16.03.2026,16.03.2026,Client_id_189,A,0,20.03.2026,0,0,,,,,,,,,,,,,,
190,19.03.2026,19.03.2026,Client_id_190,A,0,23.03.2026,0,0,,,,,,,,,,,,,,
191,21.03.2026,21.03.2026,Client_id_191,A,0,27.03.2026,0,0,,,,,,,,,,,,,,
192,21.03.2026,21.03.2026,Client_id_192,A,0,25.03.2026,0,0,,,,,,,,,,,,,,
193,18.03.2026,18.03.2026,Client_id_193,A,0,24.03.2026,0,0,,,,,,,,,,,,,,
194,22.03.2026,22.03.2026,Client_id_194,A,0,29.03.2026,0,0,,,,,,,,,,,,,,
195,18.03.2026,18.03.2026,Client_id_195,A,0,18.03.2026,0,0,,,,,,,,,,,,,,
196,16.03.2026,16.03.2026,Client_id_196,A,0,29.03.2026,0,0,,,,,,,,,,,,,,
197,16.03.2026,16.03.2026,Client_id_197,A,0,17.03.2026,0,0,,,,,,,,,,,,,,
198,16.03.2026,16.03.2026,Client_id_198,A,profi,17.03.2026,1390,1,,,,,,,,,,,,,,
199,22.03.2026,22.03.2026,Client_id_199,A,0,30.03.2026,0,0,,,,,,,,,,,,,,
200,16.03.2026,16.03.2026,Client_id_200,A,0,25.03.2026,0,0,,,,,,,,,,,,,,
201,18.03.2026,18.03.2026,Client_id_201,A,0,20.03.2026,0,0,,,,,,,,,,,,,,
202,18.03.2026,18.03.2026,Client_id_202,A,0,21.03.2026,0,0,,,,,,,,,,,,,,
203,22.03.2026,22.03.2026,Client_id_203,A,0,28.03.2026,0,0,,,,,,,,,,,,,,
204,20.03.2026,20.03.2026,Client_id_204,A,0,28.03.2026,0,0,,,,,,,,,,,,,,
205,17.03.2026,17.03.2026,Client_id_205,A,0,31.03.2026,0,0,,,,,,,,,,,,,,
206,21.03.2026,21.03.2026,Client_id_206,A,0,28.03.2026,0,0,,,,,,,,,,,,,,
207,22.03.2026,22.03.2026,Client_id_207,A,0,23.03.2026,0,0,,,,,,,,,,,,,,
208,21.03.2026,21.03.2026,Client_id_208,A,0,26.03.2026,0,0,,,,,,,,,,,,,,
209,18.03.2026,18.03.2026,Client_id_209,A,0,01.04.2026,0,0,,,,,,,,,,,,,,
210,17.03.2026,17.03.2026,Client_id_210,A,0,25.03.2026,0,0,,,,,,,,,,,,,,
211,18.03.2026,18.03.2026,Client_id_211,A,0,29.03.2026,0,0,,,,,,,,,,,,,,
212,22.03.2026,22.03.2026,Client_id_212,A,0,27.03.2026,0,0,,,,,,,,,,,,,,
213,16.03.2026,16.03.2026,Client_id_213,A,0,16.03.2026,0,0,,,,,,,,,,,,,,
214,17.03.2026,17.03.2026,Client_id_214,A,0,30.03.2026,0,0,,,,,,,,,,,,,,
215,17.03.2026,17.03.2026,Client_id_215,A,0,18.03.2026,0,0,,,,,,,,,,,,,,
216,17.03.2026,17.03.2026,Client_id_216,A,0,31.03.2026,0,0,,,,,,,,,,,,,,
217,19.03.2026,19.03.2026,Client_id_217,A,0,31.03.2026,0,0,,,,,,,,,,,,,,
218,17.03.2026,17.03.2026,Client_id_218,A,0,30.03.2026,0,0,,,,,,,,,,,,,,
219,20.03.2026,20.03.2026,Client_id_219,A,0,22.03.2026,0,0,,,,,,,,,,,,,,
220,19.03.2026,19.03.2026,Client_id_220,A,0,23.03.2026,0,0,,,,,,,,,,,,,,
221,19.03.2026,19.03.2026,Client_id_221,A,0,28.03.2026,0,0,,,,,,,,,,,,,,
222,18.03.2026,18.03.2026,Client_id_222,A,0,29.03.2026,0,0,,,,,,,,,,,,,,
223,16.03.2026,16.03.2026,Client_id_223,A,0,22.03.2026,0,0,,,,,,,,,,,,,,
224,19.03.2026,19.03.2026,Client_id_224,A,0,26.03.2026,0,0,,,,,,,,,,,,,,
225,22.03.2026,22.03.2026,Client_id_225,A,0,26.03.2026,0,0,,,,,,,,,,,,,,
226,21.03.2026,21.03.2026,Client_id_226,A,0,30.03.2026,0,0,,,,,,,,,,,,,,
227,22.03.2026,22.03.2026,Client_id_227,A,0,05.04.2026,0,0,,,,,,,,,,,,,,
228,19.03.2026,19.03.2026,Client_id_228,A,0,24.03.2026,0,0,,,,,,,,,,,,,,
229,18.03.2026,18.03.2026,Client_id_229,A,0,26.03.2026,0,0,,,,,,,,,,,,,,
230,19.03.2026,19.03.2026,Client_id_230,A,0,31.03.2026,0,0,,,,,,,,,,,,,,
231,19.03.2026,19.03.2026,Client_id_231,A,0,24.03.2026,0,0,,,,,,,,,,,,,,
232,19.03.2026,19.03.2026,Client_id_232,A,business,02.04.2026,2200,0,,,,,,,,,,,,,,
233,21.03.2026,21.03.2026,Client_id_233,A,0,03.04.2026,0,0,,,,,,,,,,,,,,
234,19.03.2026,19.03.2026,Client_id_234,A,0,21.03.2026,0,0,,,,,,,,,,,,,,
235,19.03.2026,19.03.2026,Client_id_235,A,0,23.03.2026,0,0,,,,,,,,,,,,,,
236,21.03.2026,21.03.2026,Client_id_236,A,0,21.03.2026,0,0,,,,,,,,,,,,,,
237,21.03.2026,21.03.2026,Client_id_237,A,0,23.03.2026,0,0,,,,,,,,,,,,,,
238,19.03.2026,19.03.2026,Client_id_238,A,profi,28.03.2026,1390,1,,,,,,,,,,,,,,
239,21.03.2026,21.03.2026,Client_id_239,A,0,29.03.2026,0,0,,,,,,,,,,,,,,
240,17.03.2026,17.03.2026,Client_id_240,A,0,22.03.2026,0,0,,,,,,,,,,,,,,
241,21.03.2026,21.03.2026,Client_id_241,A,0,29.03.2026,0,0,,,,,,,,,,,,,,
242,16.03.2026,16.03.2026,Client_id_242,A,0,20.03.2026,0,0,,,,,,,,,,,,,,
243,22.03.2026,22.03.2026,Client_id_243,A,0,23.03.2026,0,0,,,,,,,,,,,,,,
244,21.03.2026,21.03.2026,Client_id_244,A,0,31.03.2026,0,0,,,,,,,,,,,,,,
245,16.03.2026,16.03.2026,Client_id_245,A,0,25.03.2026,0,0,,,,,,,,,,,,,,
